Empresa,Departamento,Modalidad Contractual,Mes,Líneas
América Móvil Perú S.A.C.,NA,NA,Dic-94,-
Comunicaciones Móviles,NA,NA,Dic-94,22000
Nextel del Perú S.A.,NA,NA,Dic-94,-
Telefónica Móviles S.A.,NA,NA,Dic-94,30000
América Móvil Perú S.A.C.,NA,NA,Dic-95,-
Comunicaciones Móviles,NA,NA,Dic-95,32000
Nextel del Perú S.A.,NA,NA,Dic-95,-
Telefónica Móviles S.A.,NA,NA,Dic-95,43397
América Móvil Perú S.A.C.,NA,NA,Dic-96,-
Comunicaciones Móviles,NA,NA,Dic-96,71000
Nextel del Perú S.A.,NA,NA,Dic-96,-
Telefónica Móviles S.A.,NA,NA,Dic-96,130895
América Móvil Perú S.A.C.,NA,NA,Dic-97,-
Comunicaciones Móviles,NA,NA,Dic-97,116000
Nextel del Perú S.A.,NA,NA,Dic-97,-
Telefónica Móviles S.A.,NA,NA,Dic-97,319706
América Móvil Perú S.A.C.,NA,NA,Dic-98,-
Comunicaciones Móviles,NA,NA,Dic-98,230796
Nextel del Perú S.A.,NA,NA,Dic-98,503
Telefónica Móviles S.A.,NA,NA,Dic-98,504995
América Móvil Perú S.A.C.,NA,NA,Dic-99,-
Comunicaciones Móviles,NA,NA,Dic-99,314107
Nextel del Perú S.A.,NA,NA,Dic-99,19486
Telefónica Móviles S.A.,NA,NA,Dic-99,712117
América Móvil Perú S.A.C.,NA,NA,Dic-00,-
Comunicaciones Móviles,NA,NA,Dic-00,373091
Nextel del Perú S.A.,NA,NA,Dic-00,68403
Telefónica Móviles S.A.,NA,NA,Dic-00,898173
Telefónica del Perú S.A.A.,NA,Postpago,Ene-01,213723
Comunicaciones Móviles,NA,Postpago,Ene-01,117856
Nextel del Perú S.A.,NA,Postpago,Ene-01,72656
América Móvil Perú S.A.C.,NA,Postpago,Ene-01,-
Telefónica del Perú S.A.A.,NA,Control,Ene-01,-
Comunicaciones Móviles,NA,Control,Ene-01,-
Nextel del Perú S.A.,NA,Control,Ene-01,-
América Móvil Perú S.A.C.,NA,Control,Ene-01,-
Telefónica del Perú S.A.A.,NA,Prepago,Ene-01,688183
Comunicaciones Móviles,NA,Prepago,Ene-01,259066
Nextel del Perú S.A.,NA,Prepago,Ene-01,-
América Móvil Perú S.A.C.,NA,Prepago,Ene-01,3796
Telefónica del Perú S.A.A.,NA,Postpago,Feb-01,210799
Comunicaciones Móviles,NA,Postpago,Feb-01,117809
Nextel del Perú S.A.,NA,Postpago,Feb-01,76256
América Móvil Perú S.A.C.,NA,Postpago,Feb-01,-
Telefónica del Perú S.A.A.,NA,Control,Feb-01,-
Comunicaciones Móviles,NA,Control,Feb-01,-
Nextel del Perú S.A.,NA,Control,Feb-01,-
América Móvil Perú S.A.C.,NA,Control,Feb-01,-
Telefónica del Perú S.A.A.,NA,Prepago,Feb-01,698723
Comunicaciones Móviles,NA,Prepago,Feb-01,262751
Nextel del Perú S.A.,NA,Prepago,Feb-01,-
América Móvil Perú S.A.C.,NA,Prepago,Feb-01,19336
Telefónica del Perú S.A.A.,NA,Postpago,Mar-01,209449
Comunicaciones Móviles,NA,Postpago,Mar-01,119165
Nextel del Perú S.A.,NA,Postpago,Mar-01,81487
América Móvil Perú S.A.C.,NA,Postpago,Mar-01,-
Telefónica del Perú S.A.A.,NA,Control,Mar-01,-
Comunicaciones Móviles,NA,Control,Mar-01,-
Nextel del Perú S.A.,NA,Control,Mar-01,-
América Móvil Perú S.A.C.,NA,Control,Mar-01,-
Telefónica del Perú S.A.A.,NA,Prepago,Mar-01,712046
Comunicaciones Móviles,NA,Prepago,Mar-01,269734
Nextel del Perú S.A.,NA,Prepago,Mar-01,-
América Móvil Perú S.A.C.,NA,Prepago,Mar-01,30956
Telefónica del Perú S.A.A.,NA,Postpago,Abr-01,206840
Comunicaciones Móviles,NA,Postpago,Abr-01,118653
Nextel del Perú S.A.,NA,Postpago,Abr-01,85054
América Móvil Perú S.A.C.,NA,Postpago,Abr-01,-
Telefónica del Perú S.A.A.,NA,Control,Abr-01,-
Comunicaciones Móviles,NA,Control,Abr-01,-
Nextel del Perú S.A.,NA,Control,Abr-01,-
América Móvil Perú S.A.C.,NA,Control,Abr-01,-
Telefónica del Perú S.A.A.,NA,Prepago,Abr-01,731494
Comunicaciones Móviles,NA,Prepago,Abr-01,255436
Nextel del Perú S.A.,NA,Prepago,Abr-01,-
América Móvil Perú S.A.C.,NA,Prepago,Abr-01,48648
Telefónica del Perú S.A.A.,NA,Postpago,May-01,207304
Comunicaciones Móviles,NA,Postpago,May-01,122556
Nextel del Perú S.A.,NA,Postpago,May-01,88076
América Móvil Perú S.A.C.,NA,Postpago,May-01,-
Telefónica del Perú S.A.A.,NA,Control,May-01,-
Comunicaciones Móviles,NA,Control,May-01,-
Nextel del Perú S.A.,NA,Control,May-01,-
América Móvil Perú S.A.C.,NA,Control,May-01,-
Telefónica del Perú S.A.A.,NA,Prepago,May-01,751484
Comunicaciones Móviles,NA,Prepago,May-01,263134
Nextel del Perú S.A.,NA,Prepago,May-01,-
América Móvil Perú S.A.C.,NA,Prepago,May-01,57035
Telefónica del Perú S.A.A.,NA,Postpago,Jun-01,206159
Comunicaciones Móviles,NA,Postpago,Jun-01,125726
Nextel del Perú S.A.,NA,Postpago,Jun-01,90481
América Móvil Perú S.A.C.,NA,Postpago,Jun-01,-
Telefónica del Perú S.A.A.,NA,Control,Jun-01,-
Comunicaciones Móviles,NA,Control,Jun-01,-
Nextel del Perú S.A.,NA,Control,Jun-01,-
América Móvil Perú S.A.C.,NA,Control,Jun-01,-
Telefónica del Perú S.A.A.,NA,Prepago,Jun-01,766906
Comunicaciones Móviles,NA,Prepago,Jun-01,275838
Nextel del Perú S.A.,NA,Prepago,Jun-01,-
América Móvil Perú S.A.C.,NA,Prepago,Jun-01,71526
Telefónica del Perú S.A.A.,NA,Postpago,Jul-01,206470
Comunicaciones Móviles,NA,Postpago,Jul-01,123548
Nextel del Perú S.A.,NA,Postpago,Jul-01,94417
América Móvil Perú S.A.C.,NA,Postpago,Jul-01,413
Telefónica del Perú S.A.A.,NA,Control,Jul-01,-
Comunicaciones Móviles,NA,Control,Jul-01,-
Nextel del Perú S.A.,NA,Control,Jul-01,-
América Móvil Perú S.A.C.,NA,Control,Jul-01,-
Telefónica del Perú S.A.A.,NA,Prepago,Jul-01,783868
Comunicaciones Móviles,NA,Prepago,Jul-01,275575
Nextel del Perú S.A.,NA,Prepago,Jul-01,-
América Móvil Perú S.A.C.,NA,Prepago,Jul-01,83252
Telefónica del Perú S.A.A.,NA,Postpago,Ago-01,208309
Comunicaciones Móviles,NA,Postpago,Ago-01,123092
Nextel del Perú S.A.,NA,Postpago,Ago-01,98735
América Móvil Perú S.A.C.,NA,Postpago,Ago-01,835
Telefónica del Perú S.A.A.,NA,Control,Ago-01,-
Comunicaciones Móviles,NA,Control,Ago-01,-
Nextel del Perú S.A.,NA,Control,Ago-01,-
América Móvil Perú S.A.C.,NA,Control,Ago-01,-
Telefónica del Perú S.A.A.,NA,Prepago,Ago-01,802518
Comunicaciones Móviles,NA,Prepago,Ago-01,275666
Nextel del Perú S.A.,NA,Prepago,Ago-01,-
América Móvil Perú S.A.C.,NA,Prepago,Ago-01,94834
Telefónica del Perú S.A.A.,NA,Postpago,Set-01,210254
Comunicaciones Móviles,NA,Postpago,Set-01,122848
Nextel del Perú S.A.,NA,Postpago,Set-01,102736
América Móvil Perú S.A.C.,NA,Postpago,Set-01,1989
Telefónica del Perú S.A.A.,NA,Control,Set-01,-
Comunicaciones Móviles,NA,Control,Set-01,-
Nextel del Perú S.A.,NA,Control,Set-01,-
América Móvil Perú S.A.C.,NA,Control,Set-01,-
Telefónica del Perú S.A.A.,NA,Prepago,Set-01,818008
Comunicaciones Móviles,NA,Prepago,Set-01,275660
Nextel del Perú S.A.,NA,Prepago,Set-01,-
América Móvil Perú S.A.C.,NA,Prepago,Set-01,103204
Telefónica del Perú S.A.A.,NA,Postpago,Oct-01,215540
Comunicaciones Móviles,NA,Postpago,Oct-01,119012
Nextel del Perú S.A.,NA,Postpago,Oct-01,106317
América Móvil Perú S.A.C.,NA,Postpago,Oct-01,3642
Telefónica del Perú S.A.A.,NA,Control,Oct-01,-
Comunicaciones Móviles,NA,Control,Oct-01,-
Nextel del Perú S.A.,NA,Control,Oct-01,-
América Móvil Perú S.A.C.,NA,Control,Oct-01,-
Telefónica del Perú S.A.A.,NA,Prepago,Oct-01,831190
Comunicaciones Móviles,NA,Prepago,Oct-01,282452
Nextel del Perú S.A.,NA,Prepago,Oct-01,-
América Móvil Perú S.A.C.,NA,Prepago,Oct-01,112082
Telefónica del Perú S.A.A.,NA,Postpago,Nov-01,219498
Comunicaciones Móviles,NA,Postpago,Nov-01,117973
Nextel del Perú S.A.,NA,Postpago,Nov-01,108812
América Móvil Perú S.A.C.,NA,Postpago,Nov-01,6813
Telefónica del Perú S.A.A.,NA,Control,Nov-01,-
Comunicaciones Móviles,NA,Control,Nov-01,-
Nextel del Perú S.A.,NA,Control,Nov-01,-
América Móvil Perú S.A.C.,NA,Control,Nov-01,-
Telefónica del Perú S.A.A.,NA,Prepago,Nov-01,841958
Comunicaciones Móviles,NA,Prepago,Nov-01,286748
Nextel del Perú S.A.,NA,Prepago,Nov-01,-
América Móvil Perú S.A.C.,NA,Prepago,Nov-01,126116
Telefónica del Perú S.A.A.,NA,Postpago,Dic-01,224260
Comunicaciones Móviles,NA,Postpago,Dic-01,118717
Nextel del Perú S.A.,NA,Postpago,Dic-01,110248
América Móvil Perú S.A.C.,NA,Postpago,Dic-01,10033
Telefónica del Perú S.A.A.,NA,Control,Dic-01,-
Comunicaciones Móviles,NA,Control,Dic-01,-
Nextel del Perú S.A.,NA,Control,Dic-01,-
América Móvil Perú S.A.C.,NA,Control,Dic-01,4560
Telefónica del Perú S.A.A.,NA,Prepago,Dic-01,862892
Comunicaciones Móviles,NA,Prepago,Dic-01,311565
Nextel del Perú S.A.,NA,Prepago,Dic-01,-
América Móvil Perú S.A.C.,NA,Prepago,Dic-01,151009
Telefónica del Perú S.A.A.,NA,Postpago,Ene-02,229870
Comunicaciones Móviles,NA,Postpago,Ene-02,118762
Nextel del Perú S.A.,NA,Postpago,Ene-02,112431
América Móvil Perú S.A.C.,NA,Postpago,Ene-02,11722
Telefónica del Perú S.A.A.,NA,Control,Ene-02,-
Comunicaciones Móviles,NA,Control,Ene-02,-
Nextel del Perú S.A.,NA,Control,Ene-02,-
América Móvil Perú S.A.C.,NA,Control,Ene-02,8765
Telefónica del Perú S.A.A.,NA,Prepago,Ene-02,875515
Comunicaciones Móviles,NA,Prepago,Ene-02,316350
Nextel del Perú S.A.,NA,Prepago,Ene-02,-
América Móvil Perú S.A.C.,NA,Prepago,Ene-02,161162
Telefónica del Perú S.A.A.,NA,Postpago,Feb-02,233777
Comunicaciones Móviles,NA,Postpago,Feb-02,119629
Nextel del Perú S.A.,NA,Postpago,Feb-02,114379
América Móvil Perú S.A.C.,NA,Postpago,Feb-02,13527
Telefónica del Perú S.A.A.,NA,Control,Feb-02,-
Comunicaciones Móviles,NA,Control,Feb-02,-
Nextel del Perú S.A.,NA,Control,Feb-02,-
América Móvil Perú S.A.C.,NA,Control,Feb-02,9394
Telefónica del Perú S.A.A.,NA,Prepago,Feb-02,887837
Comunicaciones Móviles,NA,Prepago,Feb-02,320869
Nextel del Perú S.A.,NA,Prepago,Feb-02,-
América Móvil Perú S.A.C.,NA,Prepago,Feb-02,170473
Telefónica del Perú S.A.A.,NA,Postpago,Mar-02,238837
Comunicaciones Móviles,NA,Postpago,Mar-02,118452
Nextel del Perú S.A.,NA,Postpago,Mar-02,116959
América Móvil Perú S.A.C.,NA,Postpago,Mar-02,15155
Telefónica del Perú S.A.A.,NA,Control,Mar-02,-
Comunicaciones Móviles,NA,Control,Mar-02,-
Nextel del Perú S.A.,NA,Control,Mar-02,-
América Móvil Perú S.A.C.,NA,Control,Mar-02,10166
Telefónica del Perú S.A.A.,NA,Prepago,Mar-02,892374
Comunicaciones Móviles,NA,Prepago,Mar-02,329898
Nextel del Perú S.A.,NA,Prepago,Mar-02,-
América Móvil Perú S.A.C.,NA,Prepago,Mar-02,180691
Telefónica del Perú S.A.A.,NA,Postpago,Abr-02,245924
Comunicaciones Móviles,NA,Postpago,Abr-02,118034
Nextel del Perú S.A.,NA,Postpago,Abr-02,118141
América Móvil Perú S.A.C.,NA,Postpago,Abr-02,17699
Telefónica del Perú S.A.A.,NA,Control,Abr-02,-
Comunicaciones Móviles,NA,Control,Abr-02,-
Nextel del Perú S.A.,NA,Control,Abr-02,-
América Móvil Perú S.A.C.,NA,Control,Abr-02,10436
Telefónica del Perú S.A.A.,NA,Prepago,Abr-02,895976
Comunicaciones Móviles,NA,Prepago,Abr-02,344380
Nextel del Perú S.A.,NA,Prepago,Abr-02,-
América Móvil Perú S.A.C.,NA,Prepago,Abr-02,196111
Telefónica del Perú S.A.A.,NA,Postpago,May-02,172388
Comunicaciones Móviles,NA,Postpago,May-02,116808
Nextel del Perú S.A.,NA,Postpago,May-02,120217
América Móvil Perú S.A.C.,NA,Postpago,May-02,19400
Telefónica del Perú S.A.A.,NA,Control,May-02,78668
Comunicaciones Móviles,NA,Control,May-02,-
Nextel del Perú S.A.,NA,Control,May-02,-
América Móvil Perú S.A.C.,NA,Control,May-02,10650
Telefónica del Perú S.A.A.,NA,Prepago,May-02,909761
Comunicaciones Móviles,NA,Prepago,May-02,363622
Nextel del Perú S.A.,NA,Prepago,May-02,-
América Móvil Perú S.A.C.,NA,Prepago,May-02,214833
Telefónica del Perú S.A.A.,NA,Postpago,Jun-02,173167
Comunicaciones Móviles,NA,Postpago,Jun-02,114144
Nextel del Perú S.A.,NA,Postpago,Jun-02,120843
América Móvil Perú S.A.C.,NA,Postpago,Jun-02,22305
Telefónica del Perú S.A.A.,NA,Control,Jun-02,80970
Comunicaciones Móviles,NA,Control,Jun-02,-
Nextel del Perú S.A.,NA,Control,Jun-02,-
América Móvil Perú S.A.C.,NA,Control,Jun-02,10838
Telefónica del Perú S.A.A.,NA,Prepago,Jun-02,926412
Comunicaciones Móviles,NA,Prepago,Jun-02,374300
Nextel del Perú S.A.,NA,Prepago,Jun-02,-
América Móvil Perú S.A.C.,NA,Prepago,Jun-02,226378
Telefónica del Perú S.A.A.,NA,Postpago,Jul-02,174023
Comunicaciones Móviles,NA,Postpago,Jul-02,76751
Nextel del Perú S.A.,NA,Postpago,Jul-02,66536
América Móvil Perú S.A.C.,NA,Postpago,Jul-02,25626
Telefónica del Perú S.A.A.,NA,Control,Jul-02,85111
Comunicaciones Móviles,NA,Control,Jul-02,34682
Nextel del Perú S.A.,NA,Control,Jul-02,55997
América Móvil Perú S.A.C.,NA,Control,Jul-02,11232
Telefónica del Perú S.A.A.,NA,Prepago,Jul-02,943157
Comunicaciones Móviles,NA,Prepago,Jul-02,388733
Nextel del Perú S.A.,NA,Prepago,Jul-02,-
América Móvil Perú S.A.C.,NA,Prepago,Jul-02,246761
Telefónica del Perú S.A.A.,NA,Postpago,Ago-02,174999
Comunicaciones Móviles,NA,Postpago,Ago-02,74725
Nextel del Perú S.A.,NA,Postpago,Ago-02,67278
América Móvil Perú S.A.C.,NA,Postpago,Ago-02,28438
Telefónica del Perú S.A.A.,NA,Control,Ago-02,87948
Comunicaciones Móviles,NA,Control,Ago-02,33464
Nextel del Perú S.A.,NA,Control,Ago-02,57330
América Móvil Perú S.A.C.,NA,Control,Ago-02,11763
Telefónica del Perú S.A.A.,NA,Prepago,Ago-02,951842
Comunicaciones Móviles,NA,Prepago,Ago-02,400871
Nextel del Perú S.A.,NA,Prepago,Ago-02,-
América Móvil Perú S.A.C.,NA,Prepago,Ago-02,276512
Telefónica del Perú S.A.A.,NA,Postpago,Set-02,175888
Comunicaciones Móviles,NA,Postpago,Set-02,73719
Nextel del Perú S.A.,NA,Postpago,Set-02,68311
América Móvil Perú S.A.C.,NA,Postpago,Set-02,30232
Telefónica del Perú S.A.A.,NA,Control,Set-02,89373
Comunicaciones Móviles,NA,Control,Set-02,32356
Nextel del Perú S.A.,NA,Control,Set-02,58421
América Móvil Perú S.A.C.,NA,Control,Set-02,12414
Telefónica del Perú S.A.A.,NA,Prepago,Set-02,962843
Comunicaciones Móviles,NA,Prepago,Set-02,409200
Nextel del Perú S.A.,NA,Prepago,Set-02,-
América Móvil Perú S.A.C.,NA,Prepago,Set-02,293425
Telefónica del Perú S.A.A.,NA,Postpago,Oct-02,176285
Comunicaciones Móviles,NA,Postpago,Oct-02,72828
Nextel del Perú S.A.,NA,Postpago,Oct-02,68462
América Móvil Perú S.A.C.,NA,Postpago,Oct-02,27398
Telefónica del Perú S.A.A.,NA,Control,Oct-02,90662
Comunicaciones Móviles,NA,Control,Oct-02,31418
Nextel del Perú S.A.,NA,Control,Oct-02,59867
América Móvil Perú S.A.C.,NA,Control,Oct-02,9519
Telefónica del Perú S.A.A.,NA,Prepago,Oct-02,973879
Comunicaciones Móviles,NA,Prepago,Oct-02,418739
Nextel del Perú S.A.,NA,Prepago,Oct-02,-
América Móvil Perú S.A.C.,NA,Prepago,Oct-02,318141
Telefónica del Perú S.A.A.,NA,Postpago,Nov-02,177614
Comunicaciones Móviles,NA,Postpago,Nov-02,72057
Nextel del Perú S.A.,NA,Postpago,Nov-02,68482
América Móvil Perú S.A.C.,NA,Postpago,Nov-02,29623
Telefónica del Perú S.A.A.,NA,Control,Nov-02,92497
Comunicaciones Móviles,NA,Control,Nov-02,30744
Nextel del Perú S.A.,NA,Control,Nov-02,61199
América Móvil Perú S.A.C.,NA,Control,Nov-02,9599
Telefónica del Perú S.A.A.,NA,Prepago,Nov-02,988097
Comunicaciones Móviles,NA,Prepago,Nov-02,426795
Nextel del Perú S.A.,NA,Prepago,Nov-02,-
América Móvil Perú S.A.C.,NA,Prepago,Nov-02,313531
Telefónica del Perú S.A.A.,NA,Postpago,Dic-02,180074
Comunicaciones Móviles,NA,Postpago,Dic-02,71705
Nextel del Perú S.A.,NA,Postpago,Dic-02,68053
América Móvil Perú S.A.C.,NA,Postpago,Dic-02,32546
Telefónica del Perú S.A.A.,NA,Control,Dic-02,94059
Comunicaciones Móviles,NA,Control,Dic-02,31368
Nextel del Perú S.A.,NA,Control,Dic-02,61728
América Móvil Perú S.A.C.,NA,Control,Dic-02,10346
Telefónica del Perú S.A.A.,NA,Prepago,Dic-02,964923
Comunicaciones Móviles,NA,Prepago,Dic-02,447089
Nextel del Perú S.A.,NA,Prepago,Dic-02,-
América Móvil Perú S.A.C.,NA,Prepago,Dic-02,345053
Telefónica del Perú S.A.A.,NA,Postpago,Ene-03,182267
Comunicaciones Móviles,NA,Postpago,Ene-03,71753
Nextel del Perú S.A.,NA,Postpago,Ene-03,69077
América Móvil Perú S.A.C.,NA,Postpago,Ene-03,36322
Telefónica del Perú S.A.A.,NA,Control,Ene-03,94849
Comunicaciones Móviles,NA,Control,Ene-03,31892
Nextel del Perú S.A.,NA,Control,Ene-03,62894
América Móvil Perú S.A.C.,NA,Control,Ene-03,12397
Telefónica del Perú S.A.A.,NA,Prepago,Ene-03,972143
Comunicaciones Móviles,NA,Prepago,Ene-03,461266
Nextel del Perú S.A.,NA,Prepago,Ene-03,-
América Móvil Perú S.A.C.,NA,Prepago,Ene-03,353065
Telefónica del Perú S.A.A.,NA,Postpago,Feb-03,184117
Comunicaciones Móviles,NA,Postpago,Feb-03,71366
Nextel del Perú S.A.,NA,Postpago,Feb-03,69888
América Móvil Perú S.A.C.,NA,Postpago,Feb-03,38271
Telefónica del Perú S.A.A.,NA,Control,Feb-03,95653
Comunicaciones Móviles,NA,Control,Feb-03,32056
Nextel del Perú S.A.,NA,Control,Feb-03,63907
América Móvil Perú S.A.C.,NA,Control,Feb-03,13299
Telefónica del Perú S.A.A.,NA,Prepago,Feb-03,967301
Comunicaciones Móviles,NA,Prepago,Feb-03,470098
Nextel del Perú S.A.,NA,Prepago,Feb-03,-
América Móvil Perú S.A.C.,NA,Prepago,Feb-03,359117
Telefónica del Perú S.A.A.,NA,Postpago,Mar-03,186274
Comunicaciones Móviles,NA,Postpago,Mar-03,71416
Nextel del Perú S.A.,NA,Postpago,Mar-03,70591
América Móvil Perú S.A.C.,NA,Postpago,Mar-03,41474
Telefónica del Perú S.A.A.,NA,Control,Mar-03,96980
Comunicaciones Móviles,NA,Control,Mar-03,33253
Nextel del Perú S.A.,NA,Control,Mar-03,65287
América Móvil Perú S.A.C.,NA,Control,Mar-03,13413
Telefónica del Perú S.A.A.,NA,Prepago,Mar-03,956272
Comunicaciones Móviles,NA,Prepago,Mar-03,452697
Nextel del Perú S.A.,NA,Prepago,Mar-03,-
América Móvil Perú S.A.C.,NA,Prepago,Mar-03,371956
Telefónica del Perú S.A.A.,NA,Postpago,Abr-03,187160
Comunicaciones Móviles,NA,Postpago,Abr-03,71585
Nextel del Perú S.A.,NA,Postpago,Abr-03,71003
América Móvil Perú S.A.C.,NA,Postpago,Abr-03,43473
Telefónica del Perú S.A.A.,NA,Control,Abr-03,98302
Comunicaciones Móviles,NA,Control,Abr-03,34245
Nextel del Perú S.A.,NA,Control,Abr-03,66584
América Móvil Perú S.A.C.,NA,Control,Abr-03,13898
Telefónica del Perú S.A.A.,NA,Prepago,Abr-03,971594
Comunicaciones Móviles,NA,Prepago,Abr-03,451292
Nextel del Perú S.A.,NA,Prepago,Abr-03,-
América Móvil Perú S.A.C.,NA,Prepago,Abr-03,382359
Telefónica del Perú S.A.A.,NA,Postpago,May-03,187844
Comunicaciones Móviles,NA,Postpago,May-03,71757
Nextel del Perú S.A.,NA,Postpago,May-03,71324
América Móvil Perú S.A.C.,NA,Postpago,May-03,46233
Telefónica del Perú S.A.A.,NA,Control,May-03,100012
Comunicaciones Móviles,NA,Control,May-03,36262
Nextel del Perú S.A.,NA,Control,May-03,67716
América Móvil Perú S.A.C.,NA,Control,May-03,13699
Telefónica del Perú S.A.A.,NA,Prepago,May-03,994674
Comunicaciones Móviles,NA,Prepago,May-03,464375
Nextel del Perú S.A.,NA,Prepago,May-03,-
América Móvil Perú S.A.C.,NA,Prepago,May-03,397419
Telefónica del Perú S.A.A.,NA,Postpago,Jun-03,188220
Comunicaciones Móviles,NA,Postpago,Jun-03,71942
Nextel del Perú S.A.,NA,Postpago,Jun-03,71164
América Móvil Perú S.A.C.,NA,Postpago,Jun-03,47132
Telefónica del Perú S.A.A.,NA,Control,Jun-03,100616
Comunicaciones Móviles,NA,Control,Jun-03,37633
Nextel del Perú S.A.,NA,Control,Jun-03,68901
América Móvil Perú S.A.C.,NA,Control,Jun-03,13561
Telefónica del Perú S.A.A.,NA,Prepago,Jun-03,1014959
Comunicaciones Móviles,NA,Prepago,Jun-03,474247
Nextel del Perú S.A.,NA,Prepago,Jun-03,-
América Móvil Perú S.A.C.,NA,Prepago,Jun-03,404413
Telefónica del Perú S.A.A.,NA,Postpago,Jul-03,188657
Comunicaciones Móviles,NA,Postpago,Jul-03,72334
Nextel del Perú S.A.,NA,Postpago,Jul-03,71396
América Móvil Perú S.A.C.,NA,Postpago,Jul-03,49845
Telefónica del Perú S.A.A.,NA,Control,Jul-03,101126
Comunicaciones Móviles,NA,Control,Jul-03,39813
Nextel del Perú S.A.,NA,Control,Jul-03,69527
América Móvil Perú S.A.C.,NA,Control,Jul-03,13615
Telefónica del Perú S.A.A.,NA,Prepago,Jul-03,1034934
Comunicaciones Móviles,NA,Prepago,Jul-03,484555
Nextel del Perú S.A.,NA,Prepago,Jul-03,-
América Móvil Perú S.A.C.,NA,Prepago,Jul-03,420853
Telefónica del Perú S.A.A.,NA,Postpago,Ago-03,190309
Comunicaciones Móviles,NA,Postpago,Ago-03,72773
Nextel del Perú S.A.,NA,Postpago,Ago-03,71225
América Móvil Perú S.A.C.,NA,Postpago,Ago-03,53349
Telefónica del Perú S.A.A.,NA,Control,Ago-03,102269
Comunicaciones Móviles,NA,Control,Ago-03,42188
Nextel del Perú S.A.,NA,Control,Ago-03,71241
América Móvil Perú S.A.C.,NA,Control,Ago-03,13941
Telefónica del Perú S.A.A.,NA,Prepago,Ago-03,1050105
Comunicaciones Móviles,NA,Prepago,Ago-03,494050
Nextel del Perú S.A.,NA,Prepago,Ago-03,-
América Móvil Perú S.A.C.,NA,Prepago,Ago-03,443058
Telefónica del Perú S.A.A.,NA,Postpago,Set-03,192167
Comunicaciones Móviles,NA,Postpago,Set-03,62570
Nextel del Perú S.A.,NA,Postpago,Set-03,70643
América Móvil Perú S.A.C.,NA,Postpago,Set-03,55845
Telefónica del Perú S.A.A.,NA,Control,Set-03,103775
Comunicaciones Móviles,NA,Control,Set-03,53494
Nextel del Perú S.A.,NA,Control,Set-03,72723
América Móvil Perú S.A.C.,NA,Control,Set-03,14178
Telefónica del Perú S.A.A.,NA,Prepago,Set-03,1071406
Comunicaciones Móviles,NA,Prepago,Set-03,496698
Nextel del Perú S.A.,NA,Prepago,Set-03,-
América Móvil Perú S.A.C.,NA,Prepago,Set-03,446070
Telefónica del Perú S.A.A.,NA,Postpago,Oct-03,191984
Comunicaciones Móviles,NA,Postpago,Oct-03,73258
Nextel del Perú S.A.,NA,Postpago,Oct-03,70033
América Móvil Perú S.A.C.,NA,Postpago,Oct-03,58002
Telefónica del Perú S.A.A.,NA,Control,Oct-03,105494
Comunicaciones Móviles,NA,Control,Oct-03,43407
Nextel del Perú S.A.,NA,Control,Oct-03,74713
América Móvil Perú S.A.C.,NA,Control,Oct-03,13364
Telefónica del Perú S.A.A.,NA,Prepago,Oct-03,1088758
Comunicaciones Móviles,NA,Prepago,Oct-03,501790
Nextel del Perú S.A.,NA,Prepago,Oct-03,-
América Móvil Perú S.A.C.,NA,Prepago,Oct-03,484523
Telefónica del Perú S.A.A.,NA,Postpago,Nov-03,192348
Comunicaciones Móviles,NA,Postpago,Nov-03,73083
Nextel del Perú S.A.,NA,Postpago,Nov-03,69401
América Móvil Perú S.A.C.,NA,Postpago,Nov-03,61802
Telefónica del Perú S.A.A.,NA,Control,Nov-03,106149
Comunicaciones Móviles,NA,Control,Nov-03,44022
Nextel del Perú S.A.,NA,Control,Nov-03,76620
América Móvil Perú S.A.C.,NA,Control,Nov-03,13956
Telefónica del Perú S.A.A.,NA,Prepago,Nov-03,1113672
Comunicaciones Móviles,NA,Prepago,Nov-03,505618
Nextel del Perú S.A.,NA,Prepago,Nov-03,-
América Móvil Perú S.A.C.,NA,Prepago,Nov-03,501322
Telefónica del Perú S.A.A.,NA,Postpago,Dic-03,192745
Comunicaciones Móviles,NA,Postpago,Dic-03,74765
Nextel del Perú S.A.,NA,Postpago,Dic-03,68914
América Móvil Perú S.A.C.,NA,Postpago,Dic-03,67891
Telefónica del Perú S.A.A.,NA,Control,Dic-03,106715
Comunicaciones Móviles,NA,Control,Dic-03,47839
Nextel del Perú S.A.,NA,Control,Dic-03,77945
América Móvil Perú S.A.C.,NA,Control,Dic-03,14889
Telefónica del Perú S.A.A.,NA,Prepago,Dic-03,1207177
Comunicaciones Móviles,NA,Prepago,Dic-03,528013
Nextel del Perú S.A.,NA,Prepago,Dic-03,112
América Móvil Perú S.A.C.,NA,Prepago,Dic-03,543338
América Móvil Perú S.A.C.,Amazonas,Control,Ene-04,-
BellSouth Perú S.A.,Amazonas,Control,Ene-04,-
Nextel del Perú S.A.,Amazonas,Control,Ene-04,-
Telefónica del Perú S.A.A.,Amazonas,Control,Ene-04,101
TIM Perú S.A.C.,Amazonas,Control,Ene-04,26
América Móvil Perú S.A.C.,Áncash,Control,Ene-04,-
BellSouth Perú S.A.,Áncash,Control,Ene-04,489
Nextel del Perú S.A.,Áncash,Control,Ene-04,-
Telefónica del Perú S.A.A.,Áncash,Control,Ene-04,2795
