Empresa,Departamento,Mod_contract,Fecha,Lineas
America Movil Peru S.A.C.,NA,NA,1994-12-01,NA
Comunicaciones Moviles,NA,NA,1994-12-01,22000
Nextel del Peru S.A.,NA,NA,1994-12-01,NA
Telefonica Moviles S.A.,NA,NA,1994-12-01,30000
America Movil Peru S.A.C.,NA,NA,1995-12-01,NA
Comunicaciones Moviles,NA,NA,1995-12-01,32000
Nextel del Peru S.A.,NA,NA,1995-12-01,NA
Telefonica Moviles S.A.,NA,NA,1995-12-01,43397
America Movil Peru S.A.C.,NA,NA,1996-12-01,NA
Comunicaciones Moviles,NA,NA,1996-12-01,71000
Nextel del Peru S.A.,NA,NA,1996-12-01,NA
Telefonica Moviles S.A.,NA,NA,1996-12-01,130895
America Movil Peru S.A.C.,NA,NA,1997-12-01,NA
Comunicaciones Moviles,NA,NA,1997-12-01,116000
Nextel del Peru S.A.,NA,NA,1997-12-01,NA
Telefonica Moviles S.A.,NA,NA,1997-12-01,319706
America Movil Peru S.A.C.,NA,NA,1998-12-01,NA
Comunicaciones Moviles,NA,NA,1998-12-01,230796
Nextel del Peru S.A.,NA,NA,1998-12-01,503
Telefonica Moviles S.A.,NA,NA,1998-12-01,504995
America Movil Peru S.A.C.,NA,NA,1999-12-01,NA
Comunicaciones Moviles,NA,NA,1999-12-01,314107
Nextel del Peru S.A.,NA,NA,1999-12-01,19486
Telefonica Moviles S.A.,NA,NA,1999-12-01,712117
America Movil Peru S.A.C.,NA,NA,2000-12-01,NA
Comunicaciones Moviles,NA,NA,2000-12-01,373091
Nextel del Peru S.A.,NA,NA,2000-12-01,68403
Telefonica Moviles S.A.,NA,NA,2000-12-01,898173
Telefonica del Peru S.A.A.,NA,postpago,2001-01-01,213723
Comunicaciones Moviles,NA,postpago,2001-01-01,117856
Nextel del Peru S.A.,NA,postpago,2001-01-01,72656
America Movil Peru S.A.C.,NA,postpago,2001-01-01,NA
Telefonica del Peru S.A.A.,NA,control,2001-01-01,NA
Comunicaciones Moviles,NA,control,2001-01-01,NA
Nextel del Peru S.A.,NA,control,2001-01-01,NA
America Movil Peru S.A.C.,NA,control,2001-01-01,NA
Telefonica del Peru S.A.A.,NA,prepago,2001-01-01,688183
Comunicaciones Moviles,NA,prepago,2001-01-01,259066
Nextel del Peru S.A.,NA,prepago,2001-01-01,NA
America Movil Peru S.A.C.,NA,prepago,2001-01-01,3796
Telefonica del Peru S.A.A.,NA,postpago,2001-02-01,210799
Comunicaciones Moviles,NA,postpago,2001-02-01,117809
Nextel del Peru S.A.,NA,postpago,2001-02-01,76256
America Movil Peru S.A.C.,NA,postpago,2001-02-01,NA
Telefonica del Peru S.A.A.,NA,control,2001-02-01,NA
Comunicaciones Moviles,NA,control,2001-02-01,NA
Nextel del Peru S.A.,NA,control,2001-02-01,NA
America Movil Peru S.A.C.,NA,control,2001-02-01,NA
Telefonica del Peru S.A.A.,NA,prepago,2001-02-01,698723
Comunicaciones Moviles,NA,prepago,2001-02-01,262751
Nextel del Peru S.A.,NA,prepago,2001-02-01,NA
America Movil Peru S.A.C.,NA,prepago,2001-02-01,19336
Telefonica del Peru S.A.A.,NA,postpago,2001-03-01,209449
Comunicaciones Moviles,NA,postpago,2001-03-01,119165
Nextel del Peru S.A.,NA,postpago,2001-03-01,81487
America Movil Peru S.A.C.,NA,postpago,2001-03-01,NA
Telefonica del Peru S.A.A.,NA,control,2001-03-01,NA
Comunicaciones Moviles,NA,control,2001-03-01,NA
Nextel del Peru S.A.,NA,control,2001-03-01,NA
America Movil Peru S.A.C.,NA,control,2001-03-01,NA
Telefonica del Peru S.A.A.,NA,prepago,2001-03-01,712046
Comunicaciones Moviles,NA,prepago,2001-03-01,269734
Nextel del Peru S.A.,NA,prepago,2001-03-01,NA
America Movil Peru S.A.C.,NA,prepago,2001-03-01,30956
Telefonica del Peru S.A.A.,NA,postpago,2001-04-01,206840
Comunicaciones Moviles,NA,postpago,2001-04-01,118653
Nextel del Peru S.A.,NA,postpago,2001-04-01,85054
America Movil Peru S.A.C.,NA,postpago,2001-04-01,NA
Telefonica del Peru S.A.A.,NA,control,2001-04-01,NA
Comunicaciones Moviles,NA,control,2001-04-01,NA
Nextel del Peru S.A.,NA,control,2001-04-01,NA
America Movil Peru S.A.C.,NA,control,2001-04-01,NA
Telefonica del Peru S.A.A.,NA,prepago,2001-04-01,731494
Comunicaciones Moviles,NA,prepago,2001-04-01,255436
Nextel del Peru S.A.,NA,prepago,2001-04-01,NA
America Movil Peru S.A.C.,NA,prepago,2001-04-01,48648
Telefonica del Peru S.A.A.,NA,postpago,2001-05-01,207304
Comunicaciones Moviles,NA,postpago,2001-05-01,122556
Nextel del Peru S.A.,NA,postpago,2001-05-01,88076
America Movil Peru S.A.C.,NA,postpago,2001-05-01,NA
Telefonica del Peru S.A.A.,NA,control,2001-05-01,NA
Comunicaciones Moviles,NA,control,2001-05-01,NA
Nextel del Peru S.A.,NA,control,2001-05-01,NA
America Movil Peru S.A.C.,NA,control,2001-05-01,NA
Telefonica del Peru S.A.A.,NA,prepago,2001-05-01,751484
Comunicaciones Moviles,NA,prepago,2001-05-01,263134
Nextel del Peru S.A.,NA,prepago,2001-05-01,NA
America Movil Peru S.A.C.,NA,prepago,2001-05-01,57035
Telefonica del Peru S.A.A.,NA,postpago,2001-06-01,206159
Comunicaciones Moviles,NA,postpago,2001-06-01,125726
Nextel del Peru S.A.,NA,postpago,2001-06-01,90481
America Movil Peru S.A.C.,NA,postpago,2001-06-01,NA
Telefonica del Peru S.A.A.,NA,control,2001-06-01,NA
Comunicaciones Moviles,NA,control,2001-06-01,NA
Nextel del Peru S.A.,NA,control,2001-06-01,NA
America Movil Peru S.A.C.,NA,control,2001-06-01,NA
Telefonica del Peru S.A.A.,NA,prepago,2001-06-01,766906
Comunicaciones Moviles,NA,prepago,2001-06-01,275838
Nextel del Peru S.A.,NA,prepago,2001-06-01,NA
America Movil Peru S.A.C.,NA,prepago,2001-06-01,71526
Telefonica del Peru S.A.A.,NA,postpago,2001-07-01,206470
Comunicaciones Moviles,NA,postpago,2001-07-01,123548
Nextel del Peru S.A.,NA,postpago,2001-07-01,94417
America Movil Peru S.A.C.,NA,postpago,2001-07-01,413
Telefonica del Peru S.A.A.,NA,control,2001-07-01,NA
Comunicaciones Moviles,NA,control,2001-07-01,NA
Nextel del Peru S.A.,NA,control,2001-07-01,NA
America Movil Peru S.A.C.,NA,control,2001-07-01,NA
Telefonica del Peru S.A.A.,NA,prepago,2001-07-01,783868
Comunicaciones Moviles,NA,prepago,2001-07-01,275575
Nextel del Peru S.A.,NA,prepago,2001-07-01,NA
America Movil Peru S.A.C.,NA,prepago,2001-07-01,83252
Telefonica del Peru S.A.A.,NA,postpago,2001-08-01,208309
Comunicaciones Moviles,NA,postpago,2001-08-01,123092
Nextel del Peru S.A.,NA,postpago,2001-08-01,98735
America Movil Peru S.A.C.,NA,postpago,2001-08-01,835
Telefonica del Peru S.A.A.,NA,control,2001-08-01,NA
Comunicaciones Moviles,NA,control,2001-08-01,NA
Nextel del Peru S.A.,NA,control,2001-08-01,NA
America Movil Peru S.A.C.,NA,control,2001-08-01,NA
Telefonica del Peru S.A.A.,NA,prepago,2001-08-01,802518
Comunicaciones Moviles,NA,prepago,2001-08-01,275666
Nextel del Peru S.A.,NA,prepago,2001-08-01,NA
America Movil Peru S.A.C.,NA,prepago,2001-08-01,94834
Telefonica del Peru S.A.A.,NA,postpago,2001-09-01,210254
Comunicaciones Moviles,NA,postpago,2001-09-01,122848
Nextel del Peru S.A.,NA,postpago,2001-09-01,102736
America Movil Peru S.A.C.,NA,postpago,2001-09-01,1989
Telefonica del Peru S.A.A.,NA,control,2001-09-01,NA
Comunicaciones Moviles,NA,control,2001-09-01,NA
Nextel del Peru S.A.,NA,control,2001-09-01,NA
America Movil Peru S.A.C.,NA,control,2001-09-01,NA
Telefonica del Peru S.A.A.,NA,prepago,2001-09-01,818008
Comunicaciones Moviles,NA,prepago,2001-09-01,275660
Nextel del Peru S.A.,NA,prepago,2001-09-01,NA
America Movil Peru S.A.C.,NA,prepago,2001-09-01,103204
Telefonica del Peru S.A.A.,NA,postpago,2001-10-01,215540
Comunicaciones Moviles,NA,postpago,2001-10-01,119012
Nextel del Peru S.A.,NA,postpago,2001-10-01,106317
America Movil Peru S.A.C.,NA,postpago,2001-10-01,3642
Telefonica del Peru S.A.A.,NA,control,2001-10-01,NA
Comunicaciones Moviles,NA,control,2001-10-01,NA
Nextel del Peru S.A.,NA,control,2001-10-01,NA
America Movil Peru S.A.C.,NA,control,2001-10-01,NA
Telefonica del Peru S.A.A.,NA,prepago,2001-10-01,831190
Comunicaciones Moviles,NA,prepago,2001-10-01,282452
Nextel del Peru S.A.,NA,prepago,2001-10-01,NA
America Movil Peru S.A.C.,NA,prepago,2001-10-01,112082
Telefonica del Peru S.A.A.,NA,postpago,2001-11-01,219498
Comunicaciones Moviles,NA,postpago,2001-11-01,117973
Nextel del Peru S.A.,NA,postpago,2001-11-01,108812
America Movil Peru S.A.C.,NA,postpago,2001-11-01,6813
Telefonica del Peru S.A.A.,NA,control,2001-11-01,NA
Comunicaciones Moviles,NA,control,2001-11-01,NA
Nextel del Peru S.A.,NA,control,2001-11-01,NA
America Movil Peru S.A.C.,NA,control,2001-11-01,NA
Telefonica del Peru S.A.A.,NA,prepago,2001-11-01,841958
Comunicaciones Moviles,NA,prepago,2001-11-01,286748
Nextel del Peru S.A.,NA,prepago,2001-11-01,NA
America Movil Peru S.A.C.,NA,prepago,2001-11-01,126116
Telefonica del Peru S.A.A.,NA,postpago,2001-12-01,224260
Comunicaciones Moviles,NA,postpago,2001-12-01,118717
Nextel del Peru S.A.,NA,postpago,2001-12-01,110248
America Movil Peru S.A.C.,NA,postpago,2001-12-01,10033
Telefonica del Peru S.A.A.,NA,control,2001-12-01,NA
Comunicaciones Moviles,NA,control,2001-12-01,NA
Nextel del Peru S.A.,NA,control,2001-12-01,NA
America Movil Peru S.A.C.,NA,control,2001-12-01,4560
Telefonica del Peru S.A.A.,NA,prepago,2001-12-01,862892
Comunicaciones Moviles,NA,prepago,2001-12-01,311565
Nextel del Peru S.A.,NA,prepago,2001-12-01,NA
America Movil Peru S.A.C.,NA,prepago,2001-12-01,151009
Telefonica del Peru S.A.A.,NA,postpago,2002-01-01,229870
Comunicaciones Moviles,NA,postpago,2002-01-01,118762
Nextel del Peru S.A.,NA,postpago,2002-01-01,112431
America Movil Peru S.A.C.,NA,postpago,2002-01-01,11722
Telefonica del Peru S.A.A.,NA,control,2002-01-01,NA
Comunicaciones Moviles,NA,control,2002-01-01,NA
Nextel del Peru S.A.,NA,control,2002-01-01,NA
America Movil Peru S.A.C.,NA,control,2002-01-01,8765
Telefonica del Peru S.A.A.,NA,prepago,2002-01-01,875515
Comunicaciones Moviles,NA,prepago,2002-01-01,316350
Nextel del Peru S.A.,NA,prepago,2002-01-01,NA
America Movil Peru S.A.C.,NA,prepago,2002-01-01,161162
Telefonica del Peru S.A.A.,NA,postpago,2002-02-01,233777
Comunicaciones Moviles,NA,postpago,2002-02-01,119629
Nextel del Peru S.A.,NA,postpago,2002-02-01,114379
America Movil Peru S.A.C.,NA,postpago,2002-02-01,13527
Telefonica del Peru S.A.A.,NA,control,2002-02-01,NA
Comunicaciones Moviles,NA,control,2002-02-01,NA
Nextel del Peru S.A.,NA,control,2002-02-01,NA
America Movil Peru S.A.C.,NA,control,2002-02-01,9394
Telefonica del Peru S.A.A.,NA,prepago,2002-02-01,887837
Comunicaciones Moviles,NA,prepago,2002-02-01,320869
Nextel del Peru S.A.,NA,prepago,2002-02-01,NA
America Movil Peru S.A.C.,NA,prepago,2002-02-01,170473
Telefonica del Peru S.A.A.,NA,postpago,2002-03-01,238837
Comunicaciones Moviles,NA,postpago,2002-03-01,118452
Nextel del Peru S.A.,NA,postpago,2002-03-01,116959
America Movil Peru S.A.C.,NA,postpago,2002-03-01,15155
Telefonica del Peru S.A.A.,NA,control,2002-03-01,NA
Comunicaciones Moviles,NA,control,2002-03-01,NA
Nextel del Peru S.A.,NA,control,2002-03-01,NA
America Movil Peru S.A.C.,NA,control,2002-03-01,10166
Telefonica del Peru S.A.A.,NA,prepago,2002-03-01,892374
Comunicaciones Moviles,NA,prepago,2002-03-01,329898
Nextel del Peru S.A.,NA,prepago,2002-03-01,NA
America Movil Peru S.A.C.,NA,prepago,2002-03-01,180691
Telefonica del Peru S.A.A.,NA,postpago,2002-04-01,245924
Comunicaciones Moviles,NA,postpago,2002-04-01,118034
Nextel del Peru S.A.,NA,postpago,2002-04-01,118141
America Movil Peru S.A.C.,NA,postpago,2002-04-01,17699
Telefonica del Peru S.A.A.,NA,control,2002-04-01,NA
Comunicaciones Moviles,NA,control,2002-04-01,NA
Nextel del Peru S.A.,NA,control,2002-04-01,NA
America Movil Peru S.A.C.,NA,control,2002-04-01,10436
Telefonica del Peru S.A.A.,NA,prepago,2002-04-01,895976
Comunicaciones Moviles,NA,prepago,2002-04-01,344380
Nextel del Peru S.A.,NA,prepago,2002-04-01,NA
America Movil Peru S.A.C.,NA,prepago,2002-04-01,196111
Telefonica del Peru S.A.A.,NA,postpago,2002-05-01,172388
Comunicaciones Moviles,NA,postpago,2002-05-01,116808
Nextel del Peru S.A.,NA,postpago,2002-05-01,120217
America Movil Peru S.A.C.,NA,postpago,2002-05-01,19400
Telefonica del Peru S.A.A.,NA,control,2002-05-01,78668
Comunicaciones Moviles,NA,control,2002-05-01,NA
Nextel del Peru S.A.,NA,control,2002-05-01,NA
America Movil Peru S.A.C.,NA,control,2002-05-01,10650
Telefonica del Peru S.A.A.,NA,prepago,2002-05-01,909761
Comunicaciones Moviles,NA,prepago,2002-05-01,363622
Nextel del Peru S.A.,NA,prepago,2002-05-01,NA
America Movil Peru S.A.C.,NA,prepago,2002-05-01,214833
Telefonica del Peru S.A.A.,NA,postpago,2002-06-01,173167
Comunicaciones Moviles,NA,postpago,2002-06-01,114144
Nextel del Peru S.A.,NA,postpago,2002-06-01,120843
America Movil Peru S.A.C.,NA,postpago,2002-06-01,22305
Telefonica del Peru S.A.A.,NA,control,2002-06-01,80970
Comunicaciones Moviles,NA,control,2002-06-01,NA
Nextel del Peru S.A.,NA,control,2002-06-01,NA
America Movil Peru S.A.C.,NA,control,2002-06-01,10838
Telefonica del Peru S.A.A.,NA,prepago,2002-06-01,926412
Comunicaciones Moviles,NA,prepago,2002-06-01,374300
Nextel del Peru S.A.,NA,prepago,2002-06-01,NA
America Movil Peru S.A.C.,NA,prepago,2002-06-01,226378
Telefonica del Peru S.A.A.,NA,postpago,2002-07-01,174023
Comunicaciones Moviles,NA,postpago,2002-07-01,76751
Nextel del Peru S.A.,NA,postpago,2002-07-01,66536
America Movil Peru S.A.C.,NA,postpago,2002-07-01,25626
Telefonica del Peru S.A.A.,NA,control,2002-07-01,85111
Comunicaciones Moviles,NA,control,2002-07-01,34682
Nextel del Peru S.A.,NA,control,2002-07-01,55997
America Movil Peru S.A.C.,NA,control,2002-07-01,11232
Telefonica del Peru S.A.A.,NA,prepago,2002-07-01,943157
Comunicaciones Moviles,NA,prepago,2002-07-01,388733
Nextel del Peru S.A.,NA,prepago,2002-07-01,NA
America Movil Peru S.A.C.,NA,prepago,2002-07-01,246761
Telefonica del Peru S.A.A.,NA,postpago,2002-08-01,174999
Comunicaciones Moviles,NA,postpago,2002-08-01,74725
Nextel del Peru S.A.,NA,postpago,2002-08-01,67278
America Movil Peru S.A.C.,NA,postpago,2002-08-01,28438
Telefonica del Peru S.A.A.,NA,control,2002-08-01,87948
Comunicaciones Moviles,NA,control,2002-08-01,33464
Nextel del Peru S.A.,NA,control,2002-08-01,57330
America Movil Peru S.A.C.,NA,control,2002-08-01,11763
Telefonica del Peru S.A.A.,NA,prepago,2002-08-01,951842
Comunicaciones Moviles,NA,prepago,2002-08-01,400871
Nextel del Peru S.A.,NA,prepago,2002-08-01,NA
America Movil Peru S.A.C.,NA,prepago,2002-08-01,276512
Telefonica del Peru S.A.A.,NA,postpago,2002-09-01,175888
Comunicaciones Moviles,NA,postpago,2002-09-01,73719
Nextel del Peru S.A.,NA,postpago,2002-09-01,68311
America Movil Peru S.A.C.,NA,postpago,2002-09-01,30232
Telefonica del Peru S.A.A.,NA,control,2002-09-01,89373
Comunicaciones Moviles,NA,control,2002-09-01,32356
Nextel del Peru S.A.,NA,control,2002-09-01,58421
America Movil Peru S.A.C.,NA,control,2002-09-01,12414
Telefonica del Peru S.A.A.,NA,prepago,2002-09-01,962843
Comunicaciones Moviles,NA,prepago,2002-09-01,409200
Nextel del Peru S.A.,NA,prepago,2002-09-01,NA
America Movil Peru S.A.C.,NA,prepago,2002-09-01,293425
Telefonica del Peru S.A.A.,NA,postpago,2002-10-01,176285
Comunicaciones Moviles,NA,postpago,2002-10-01,72828
Nextel del Peru S.A.,NA,postpago,2002-10-01,68462
America Movil Peru S.A.C.,NA,postpago,2002-10-01,27398
Telefonica del Peru S.A.A.,NA,control,2002-10-01,90662
Comunicaciones Moviles,NA,control,2002-10-01,31418
Nextel del Peru S.A.,NA,control,2002-10-01,59867
America Movil Peru S.A.C.,NA,control,2002-10-01,9519
Telefonica del Peru S.A.A.,NA,prepago,2002-10-01,973879
Comunicaciones Moviles,NA,prepago,2002-10-01,418739
Nextel del Peru S.A.,NA,prepago,2002-10-01,NA
America Movil Peru S.A.C.,NA,prepago,2002-10-01,318141
Telefonica del Peru S.A.A.,NA,postpago,2002-11-01,177614
Comunicaciones Moviles,NA,postpago,2002-11-01,72057
Nextel del Peru S.A.,NA,postpago,2002-11-01,68482
America Movil Peru S.A.C.,NA,postpago,2002-11-01,29623
Telefonica del Peru S.A.A.,NA,control,2002-11-01,92497
Comunicaciones Moviles,NA,control,2002-11-01,30744
Nextel del Peru S.A.,NA,control,2002-11-01,61199
America Movil Peru S.A.C.,NA,control,2002-11-01,9599
Telefonica del Peru S.A.A.,NA,prepago,2002-11-01,988097
Comunicaciones Moviles,NA,prepago,2002-11-01,426795
Nextel del Peru S.A.,NA,prepago,2002-11-01,NA
America Movil Peru S.A.C.,NA,prepago,2002-11-01,313531
Telefonica del Peru S.A.A.,NA,postpago,2002-12-01,180074
Comunicaciones Moviles,NA,postpago,2002-12-01,71705
Nextel del Peru S.A.,NA,postpago,2002-12-01,68053
America Movil Peru S.A.C.,NA,postpago,2002-12-01,32546
Telefonica del Peru S.A.A.,NA,control,2002-12-01,94059
Comunicaciones Moviles,NA,control,2002-12-01,31368
Nextel del Peru S.A.,NA,control,2002-12-01,61728
America Movil Peru S.A.C.,NA,control,2002-12-01,10346
Telefonica del Peru S.A.A.,NA,prepago,2002-12-01,964923
Comunicaciones Moviles,NA,prepago,2002-12-01,447089
Nextel del Peru S.A.,NA,prepago,2002-12-01,NA
America Movil Peru S.A.C.,NA,prepago,2002-12-01,345053
Telefonica del Peru S.A.A.,NA,postpago,2003-01-01,182267
Comunicaciones Moviles,NA,postpago,2003-01-01,71753
Nextel del Peru S.A.,NA,postpago,2003-01-01,69077
America Movil Peru S.A.C.,NA,postpago,2003-01-01,36322
Telefonica del Peru S.A.A.,NA,control,2003-01-01,94849
Comunicaciones Moviles,NA,control,2003-01-01,31892
Nextel del Peru S.A.,NA,control,2003-01-01,62894
America Movil Peru S.A.C.,NA,control,2003-01-01,12397
Telefonica del Peru S.A.A.,NA,prepago,2003-01-01,972143
Comunicaciones Moviles,NA,prepago,2003-01-01,461266
Nextel del Peru S.A.,NA,prepago,2003-01-01,NA
America Movil Peru S.A.C.,NA,prepago,2003-01-01,353065
Telefonica del Peru S.A.A.,NA,postpago,2003-02-01,184117
Comunicaciones Moviles,NA,postpago,2003-02-01,71366
Nextel del Peru S.A.,NA,postpago,2003-02-01,69888
America Movil Peru S.A.C.,NA,postpago,2003-02-01,38271
Telefonica del Peru S.A.A.,NA,control,2003-02-01,95653
Comunicaciones Moviles,NA,control,2003-02-01,32056
Nextel del Peru S.A.,NA,control,2003-02-01,63907
America Movil Peru S.A.C.,NA,control,2003-02-01,13299
Telefonica del Peru S.A.A.,NA,prepago,2003-02-01,967301
Comunicaciones Moviles,NA,prepago,2003-02-01,470098
Nextel del Peru S.A.,NA,prepago,2003-02-01,NA
America Movil Peru S.A.C.,NA,prepago,2003-02-01,359117
Telefonica del Peru S.A.A.,NA,postpago,2003-03-01,186274
Comunicaciones Moviles,NA,postpago,2003-03-01,71416
Nextel del Peru S.A.,NA,postpago,2003-03-01,70591
America Movil Peru S.A.C.,NA,postpago,2003-03-01,41474
Telefonica del Peru S.A.A.,NA,control,2003-03-01,96980
Comunicaciones Moviles,NA,control,2003-03-01,33253
Nextel del Peru S.A.,NA,control,2003-03-01,65287
America Movil Peru S.A.C.,NA,control,2003-03-01,13413
Telefonica del Peru S.A.A.,NA,prepago,2003-03-01,956272
Comunicaciones Moviles,NA,prepago,2003-03-01,452697
Nextel del Peru S.A.,NA,prepago,2003-03-01,NA
America Movil Peru S.A.C.,NA,prepago,2003-03-01,371956
Telefonica del Peru S.A.A.,NA,postpago,2003-04-01,187160
Comunicaciones Moviles,NA,postpago,2003-04-01,71585
Nextel del Peru S.A.,NA,postpago,2003-04-01,71003
America Movil Peru S.A.C.,NA,postpago,2003-04-01,43473
Telefonica del Peru S.A.A.,NA,control,2003-04-01,98302
Comunicaciones Moviles,NA,control,2003-04-01,34245
Nextel del Peru S.A.,NA,control,2003-04-01,66584
America Movil Peru S.A.C.,NA,control,2003-04-01,13898
Telefonica del Peru S.A.A.,NA,prepago,2003-04-01,971594
Comunicaciones Moviles,NA,prepago,2003-04-01,451292
Nextel del Peru S.A.,NA,prepago,2003-04-01,NA
America Movil Peru S.A.C.,NA,prepago,2003-04-01,382359
Telefonica del Peru S.A.A.,NA,postpago,2003-05-01,187844
Comunicaciones Moviles,NA,postpago,2003-05-01,71757
Nextel del Peru S.A.,NA,postpago,2003-05-01,71324
America Movil Peru S.A.C.,NA,postpago,2003-05-01,46233
Telefonica del Peru S.A.A.,NA,control,2003-05-01,100012
Comunicaciones Moviles,NA,control,2003-05-01,36262
Nextel del Peru S.A.,NA,control,2003-05-01,67716
America Movil Peru S.A.C.,NA,control,2003-05-01,13699
Telefonica del Peru S.A.A.,NA,prepago,2003-05-01,994674
Comunicaciones Moviles,NA,prepago,2003-05-01,464375
Nextel del Peru S.A.,NA,prepago,2003-05-01,NA
America Movil Peru S.A.C.,NA,prepago,2003-05-01,397419
Telefonica del Peru S.A.A.,NA,postpago,2003-06-01,188220
Comunicaciones Moviles,NA,postpago,2003-06-01,71942
Nextel del Peru S.A.,NA,postpago,2003-06-01,71164
America Movil Peru S.A.C.,NA,postpago,2003-06-01,47132
Telefonica del Peru S.A.A.,NA,control,2003-06-01,100616
Comunicaciones Moviles,NA,control,2003-06-01,37633
Nextel del Peru S.A.,NA,control,2003-06-01,68901
America Movil Peru S.A.C.,NA,control,2003-06-01,13561
Telefonica del Peru S.A.A.,NA,prepago,2003-06-01,1014959
Comunicaciones Moviles,NA,prepago,2003-06-01,474247
Nextel del Peru S.A.,NA,prepago,2003-06-01,NA
America Movil Peru S.A.C.,NA,prepago,2003-06-01,404413
Telefonica del Peru S.A.A.,NA,postpago,2003-07-01,188657
Comunicaciones Moviles,NA,postpago,2003-07-01,72334
Nextel del Peru S.A.,NA,postpago,2003-07-01,71396
America Movil Peru S.A.C.,NA,postpago,2003-07-01,49845
Telefonica del Peru S.A.A.,NA,control,2003-07-01,101126
Comunicaciones Moviles,NA,control,2003-07-01,39813
Nextel del Peru S.A.,NA,control,2003-07-01,69527
America Movil Peru S.A.C.,NA,control,2003-07-01,13615
Telefonica del Peru S.A.A.,NA,prepago,2003-07-01,1034934
Comunicaciones Moviles,NA,prepago,2003-07-01,484555
Nextel del Peru S.A.,NA,prepago,2003-07-01,NA
America Movil Peru S.A.C.,NA,prepago,2003-07-01,420853
Telefonica del Peru S.A.A.,NA,postpago,2003-08-01,190309
Comunicaciones Moviles,NA,postpago,2003-08-01,72773
Nextel del Peru S.A.,NA,postpago,2003-08-01,71225
America Movil Peru S.A.C.,NA,postpago,2003-08-01,53349
Telefonica del Peru S.A.A.,NA,control,2003-08-01,102269
Comunicaciones Moviles,NA,control,2003-08-01,42188
Nextel del Peru S.A.,NA,control,2003-08-01,71241
America Movil Peru S.A.C.,NA,control,2003-08-01,13941
Telefonica del Peru S.A.A.,NA,prepago,2003-08-01,1050105
Comunicaciones Moviles,NA,prepago,2003-08-01,494050
Nextel del Peru S.A.,NA,prepago,2003-08-01,NA
America Movil Peru S.A.C.,NA,prepago,2003-08-01,443058
Telefonica del Peru S.A.A.,NA,postpago,2003-09-01,192167
Comunicaciones Moviles,NA,postpago,2003-09-01,62570
Nextel del Peru S.A.,NA,postpago,2003-09-01,70643
America Movil Peru S.A.C.,NA,postpago,2003-09-01,55845
Telefonica del Peru S.A.A.,NA,control,2003-09-01,103775
Comunicaciones Moviles,NA,control,2003-09-01,53494
Nextel del Peru S.A.,NA,control,2003-09-01,72723
America Movil Peru S.A.C.,NA,control,2003-09-01,14178
Telefonica del Peru S.A.A.,NA,prepago,2003-09-01,1071406
Comunicaciones Moviles,NA,prepago,2003-09-01,496698
Nextel del Peru S.A.,NA,prepago,2003-09-01,NA
America Movil Peru S.A.C.,NA,prepago,2003-09-01,446070
Telefonica del Peru S.A.A.,NA,postpago,2003-10-01,191984
Comunicaciones Moviles,NA,postpago,2003-10-01,73258
Nextel del Peru S.A.,NA,postpago,2003-10-01,70033
America Movil Peru S.A.C.,NA,postpago,2003-10-01,58002
Telefonica del Peru S.A.A.,NA,control,2003-10-01,105494
Comunicaciones Moviles,NA,control,2003-10-01,43407
Nextel del Peru S.A.,NA,control,2003-10-01,74713
America Movil Peru S.A.C.,NA,control,2003-10-01,13364
Telefonica del Peru S.A.A.,NA,prepago,2003-10-01,1088758
Comunicaciones Moviles,NA,prepago,2003-10-01,501790
Nextel del Peru S.A.,NA,prepago,2003-10-01,NA
America Movil Peru S.A.C.,NA,prepago,2003-10-01,484523
Telefonica del Peru S.A.A.,NA,postpago,2003-11-01,192348
Comunicaciones Moviles,NA,postpago,2003-11-01,73083
Nextel del Peru S.A.,NA,postpago,2003-11-01,69401
America Movil Peru S.A.C.,NA,postpago,2003-11-01,61802
Telefonica del Peru S.A.A.,NA,control,2003-11-01,106149
Comunicaciones Moviles,NA,control,2003-11-01,44022
Nextel del Peru S.A.,NA,control,2003-11-01,76620
America Movil Peru S.A.C.,NA,control,2003-11-01,13956
Telefonica del Peru S.A.A.,NA,prepago,2003-11-01,1113672
Comunicaciones Moviles,NA,prepago,2003-11-01,505618
Nextel del Peru S.A.,NA,prepago,2003-11-01,NA
America Movil Peru S.A.C.,NA,prepago,2003-11-01,501322
Telefonica del Peru S.A.A.,NA,postpago,2003-12-01,192745
Comunicaciones Moviles,NA,postpago,2003-12-01,74765
Nextel del Peru S.A.,NA,postpago,2003-12-01,68914
America Movil Peru S.A.C.,NA,postpago,2003-12-01,67891
Telefonica del Peru S.A.A.,NA,control,2003-12-01,106715
Comunicaciones Moviles,NA,control,2003-12-01,47839
Nextel del Peru S.A.,NA,control,2003-12-01,77945
America Movil Peru S.A.C.,NA,control,2003-12-01,14889
Telefonica del Peru S.A.A.,NA,prepago,2003-12-01,1207177
Comunicaciones Moviles,NA,prepago,2003-12-01,528013
Nextel del Peru S.A.,NA,prepago,2003-12-01,112
America Movil Peru S.A.C.,NA,prepago,2003-12-01,543338
America Movil Peru S.A.C.,Amazonas,control,2004-01-01,NA
BellSouth Peru S.A.,Amazonas,control,2004-01-01,NA
Nextel del Peru S.A.,Amazonas,control,2004-01-01,NA
Telefonica del Peru S.A.A.,Amazonas,control,2004-01-01,101
